# total-plan-time initial-solution-planning-time epsilon-1 initial-solution-expansions final-epsilon-planning-time epsilon-2 solution-epsilon expansions solution-cost path-length 
147.81 147.81 50.00 1124.00 147.81 50.00 50.00 1124.00 30693.00 292.00 
299.38 299.38 50.00 3055.00 299.38 50.00 50.00 3055.00 1000000000.00 0.00 
66.23 66.23 50.00 564.00 66.23 50.00 50.00 564.00 16497.00 251.00 
299.53 299.53 50.00 3323.00 299.53 50.00 50.00 3323.00 1000000000.00 0.00 
299.61 299.61 50.00 3600.00 299.61 50.00 50.00 3600.00 1000000000.00 0.00 
106.57 106.57 50.00 1204.00 106.57 50.00 50.00 1204.00 11743.00 108.00 
26.99 26.99 50.00 244.00 26.99 50.00 50.00 244.00 7602.00 124.00 
300.04 300.04 50.00 4884.00 300.04 50.00 50.00 4884.00 1000000000.00 0.00 
109.79 109.79 50.00 1064.00 109.79 50.00 50.00 1064.00 32203.00 424.00 
299.99 299.99 50.00 4128.00 299.99 50.00 50.00 4128.00 1000000000.00 0.00 
166.17 166.17 50.00 1584.00 166.17 50.00 50.00 1584.00 31700.00 476.00 
299.97 299.97 50.00 8127.00 299.97 50.00 50.00 8127.00 1000000000.00 0.00 
299.40 299.40 50.00 4538.00 299.40 50.00 50.00 4538.00 1000000000.00 0.00 
299.90 299.90 50.00 5342.00 299.90 50.00 50.00 5342.00 1000000000.00 0.00 
186.83 186.83 50.00 2004.00 186.83 50.00 50.00 2004.00 14661.00 118.00 
67.47 67.47 50.00 584.00 67.47 50.00 50.00 584.00 20264.00 272.00 
299.95 299.95 50.00 3733.00 299.95 50.00 50.00 3733.00 1000000000.00 0.00 
300.01 300.01 50.00 4037.00 300.01 50.00 50.00 4037.00 1000000000.00 0.00 
300.03 300.03 50.00 4004.00 300.03 50.00 50.00 4004.00 1000000000.00 0.00 
300.00 300.00 50.00 4326.00 300.00 50.00 50.00 4326.00 1000000000.00 0.00 
81.52 81.52 50.00 964.00 81.52 50.00 50.00 964.00 6551.00 53.00 
299.88 299.88 50.00 4698.00 299.88 50.00 50.00 4698.00 1000000000.00 0.00 
185.03 185.03 50.00 2444.00 185.03 50.00 50.00 2444.00 7025.00 141.00 
185.85 185.85 50.00 1622.00 185.85 50.00 50.00 1622.00 25634.00 292.00 
209.53 209.53 50.00 2442.00 209.53 50.00 50.00 2442.00 42147.00 452.00 
109.31 109.31 50.00 1164.00 109.31 50.00 50.00 1164.00 42697.00 257.00 
96.87 96.87 50.00 1224.00 96.87 50.00 50.00 1224.00 10063.00 120.00 
300.06 300.06 50.00 3793.00 300.06 50.00 50.00 3793.00 1000000000.00 0.00 
299.69 299.69 50.00 3757.00 299.69 50.00 50.00 3757.00 1000000000.00 0.00 
206.80 206.80 50.00 2362.00 206.80 50.00 50.00 2362.00 26208.00 248.00 
299.55 299.55 50.00 5529.00 299.55 50.00 50.00 5529.00 1000000000.00 0.00 
0.00 0.00 50.00 0.00 0.00 50.00 50.00 0.00 1000000000.00 0.00 
299.90 299.90 50.00 3723.00 299.90 50.00 50.00 3723.00 1000000000.00 0.00 
299.87 299.87 50.00 5622.00 299.87 50.00 50.00 5622.00 1000000000.00 0.00 
252.34 252.34 50.00 2563.00 252.34 50.00 50.00 2563.00 62214.00 703.00 
230.34 230.34 50.00 2384.00 230.34 50.00 50.00 2384.00 39804.00 420.00 
299.96 299.96 50.00 4986.00 299.96 50.00 50.00 4986.00 1000000000.00 0.00 
68.20 68.20 50.00 543.00 68.20 50.00 50.00 543.00 21758.00 252.00 
300.00 300.00 50.00 5275.00 300.00 50.00 50.00 5275.00 1000000000.00 0.00 
64.10 64.10 50.00 543.00 64.10 50.00 50.00 543.00 13798.00 211.00 
300.02 300.02 50.00 3851.00 300.02 50.00 50.00 3851.00 1000000000.00 0.00 
111.33 111.33 50.00 1184.00 111.33 50.00 50.00 1184.00 18119.00 121.00 
56.68 56.68 50.00 604.00 56.68 50.00 50.00 604.00 14568.00 178.00 
158.40 158.40 50.00 2222.00 158.40 50.00 50.00 2222.00 23584.00 137.00 
175.58 175.58 50.00 2124.00 175.58 50.00 50.00 2124.00 26011.00 361.00 
299.86 299.86 50.00 4259.00 299.86 50.00 50.00 4259.00 1000000000.00 0.00 
130.30 130.30 50.00 1202.00 130.30 50.00 50.00 1202.00 43847.00 462.00 
300.00 300.00 50.00 6302.00 300.00 50.00 50.00 6302.00 1000000000.00 0.00 
299.95 299.95 50.00 3938.00 299.95 50.00 50.00 3938.00 1000000000.00 0.00 
299.65 299.65 50.00 6303.00 299.65 50.00 50.00 6303.00 1000000000.00 0.00 
21.73 21.73 50.00 164.00 21.73 50.00 50.00 164.00 2729.00 72.00 
0.00 0.00 50.00 0.00 0.00 50.00 50.00 0.00 1000000000.00 0.00 
300.01 300.01 50.00 3642.00 300.01 50.00 50.00 3642.00 1000000000.00 0.00 
300.07 300.07 50.00 5223.00 300.07 50.00 50.00 5223.00 1000000000.00 0.00 
